Movie,Year,Score,Adjusted Score,Director,Cast,Consensus,Box Office Collection,Imdb_genre,IMDB Rating,metascore,time_minute,Votes,Is Common Movie
Argo,2012,96,111.607,Ben Affleck,"Ben Affleck, Bryan Cranston, Alan Arkin, John Goodman","On Nov. 4, 1979, militants storm the U.S. embassy in Tehran, Iran, taking 66 American hostages. Amid the chaos, six...",227140757,Drama,7.7,86,120,605829,TRUE
Roma,2018,96,120.322,Alfonso Cuar¨®n,"Yalitza Aparicio, Marina de Tavira, Marco Graf, Fernando Grediaga",Cleo is one of two domestic workers who help Antonio and Sof¨ªa take care of their four children in 1970s...,1109544,Drama,7.7,96,135,154711,TRUE
Rocks,2019,97,98.795,Sarah Gavron,"Bukky Bakray, Ruby Stokes, Sarah Niles, Layo-Christina Akinlude",A London teen takes care of her younger brother after their mother abruptly leaves....,545612,,,,,,FALSE
13TH,2016,97,104.834,Ava DuVernay,"Michelle Alexander, Bryan Stevenson, Van Jones, Newt Gingrich","Filmmaker Ava DuVernay explores the history of racial inequality in the United States, focusing on the fact that the nation's...",,,,,,,FALSE
Aquarius,2016,97,104.993,Kleber Mendon?a Filho,"Sonia Braga, Maeve Jinkings, Humberto Carr?o, Carla Ribas","Clara, a 65-year-old widow and retired music critic, vows to live in her apartment until she dies after a developer...",2671506,Drama,7,,42,12204,FALSE
Mudbound,2017,97,112.22,Dee Rees,"Carey Mulligan, Jason Clarke, Jason Mitchell, Mary J. Blige","Set in the rural American South during World War II, Dee Rees' Mudbound is an epic story of two families...",53559,Drama,7.4,85,134,48366,TRUE
Hunt for the Wilderpeople,2016,97,109.134,Taika Waititi,"Sam Neill, Julian Dennison, Rima Te Wiata, Rachel House",A boy (Julian Dennison) and his foster father (Sam Neill) become the subjects of a manhunt after they get stranded...,23900842,Comedy,7.8,81,101,127173,FALSE
Dolemite Is My Name,2019,97,111.482,Craig Brewer,"Eddie Murphy, Wesley Snipes, Kodi Smit-McPhee, Keegan-Michael Key","Performer Rudy Ray Moore develops an outrageous character named Dolemite, who becomes an underground sensation and star of a kung-fu,...",,Comedy,7.2,76,118,59960,FALSE
Ma Rainey's Black Bottom,2020,97,119.14,George C. Wolfe,"Viola Davis, Chadwick Boseman, Glynn Turman, Colman Domingo",Tensions and temperatures rise over the course of an afternoon recording session in 1920s Chicago as a band of musicians...,,Drama,6.9,87,94,50476,TRUE
Homecoming: A Film by Beyonc¨¦,2019,98,100.706,Unknown Director,Beyonc¨¦,...,,,,,,,FALSE
Circus of Books,2019,98,101.472,Rachel Mason,"Karen Mason, Rachel Mason, Larry Flynt, Jeff Stryker","In 1976 a couple take over an adult book store, and the store becomes the biggest distributor of gay porn...",,,,,,,FALSE
Whose Streets?,2017,98,102.987,Sabaah Folayan,,An account of the Ferguson uprising as told by the people who lived it. The filmmakers look at how the...,182799,,,,,,FALSE
The Forty-Year-Old Version,2020,99,107.166,Radha Blank,"Welker White, Reed Birney, Radha Blank, Peter Y. Kim",A struggling New York City playwright finds inspiration by reinventing herself as a rapper....,,,,,,,FALSE
